------ Experiment.reset ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  55
count embeddings (convex):  109
total diff. algorithms (convex):  116
accuracy perfect hardware (convex): 0.5, 1.0, 1.0

num. algorithms per horizon (method=convex)
1 :  19
2 :  25
3 :  72
--


number of improvements per horizon:
--> horizon 1: 108 
--> horizon 2: 80 
--> horizon 3: 108 


Improvements with respect to perfect algorithms per horizon
Horizon = 1
hardware=brisbane-0, diff=0.07046, prob=0.5, baseline_prob=0.42954, algorithm=46, method=convex, horizon=1,
hardware=london-0, diff=0.00012, prob=0.83448, baseline_prob=0.83436, algorithm=96, method=convex, horizon=2,
hardware=essex-1, diff=0.0001, prob=0.94255, baseline_prob=0.94245, algorithm=72, method=convex, horizon=2,
hardware=kolkata-0, diff=9e-05, prob=0.95198, baseline_prob=0.95189, algorithm=72, method=convex, horizon=2,
hardware=paris-0, diff=8e-05, prob=0.78866, baseline_prob=0.78858, algorithm=32, method=convex, horizon=2,
hardware=prague-0, diff=8e-05, prob=0.89647, baseline_prob=0.89639, algorithm=96, method=convex, horizon=2,
hardware=kawasaki-1, diff=7e-05, prob=0.67252, baseline_prob=0.67245, algorithm=23, method=convex, horizon=2,
hardware=manila-0, diff=7e-05, prob=0.903, baseline_prob=0.90293, algorithm=96, method=convex, horizon=2,
hardware=singapore-0, diff=7e-05, prob=0.91127, baseline_prob=0.9112, algorithm=26, method=convex, horizon=2,
hardware=burlington-1, diff=6e-05, prob=0.95043, baseline_prob=0.95037, algorithm=55, method=convex, horizon=2,
hardware=algiers-1, diff=5e-05, prob=0.94377, baseline_prob=0.94372, algorithm=26, method=convex, horizon=2,
hardware=bogota-1, diff=5e-05, prob=0.94249, baseline_prob=0.94244, algorithm=26, method=convex, horizon=2,
hardware=essex-0, diff=5e-05, prob=0.96782, baseline_prob=0.96777, algorithm=42, method=convex, horizon=2,
hardware=geneva-0, diff=5e-05, prob=0.85833, baseline_prob=0.85828, algorithm=32, method=convex, horizon=2,
hardware=quito-0, diff=5e-05, prob=0.97578, baseline_prob=0.97573, algorithm=118, method=convex, horizon=2,
hardware=sydney-1, diff=5e-05, prob=0.88132, baseline_prob=0.88127, algorithm=32, method=convex, horizon=2,
hardware=kyiv-1, diff=4e-05, prob=0.50317, baseline_prob=0.50313, algorithm=90, method=convex, horizon=2,
hardware=lima-1, diff=4e-05, prob=0.9419, baseline_prob=0.94186, algorithm=52, method=convex, horizon=2,
hardware=fez-1, diff=3e-05, prob=0.89381, baseline_prob=0.89378, algorithm=23, method=convex, horizon=2,
hardware=guadalupe-0, diff=3e-05, prob=0.93915, baseline_prob=0.93912, algorithm=32, method=convex, horizon=2,
hardware=johannesburg-0, diff=3e-05, prob=0.98063, baseline_prob=0.9806, algorithm=72, method=convex, horizon=2,
hardware=montreal-1, diff=3e-05, prob=0.90312, baseline_prob=0.90309, algorithm=23, method=convex, horizon=2,
hardware=poughkeepsie-1, diff=3e-05, prob=0.97762, baseline_prob=0.97759, algorithm=115, method=convex, horizon=2,
hardware=valencia-1, diff=3e-05, prob=0.94527, baseline_prob=0.94524, algorithm=39, method=convex, horizon=2,
hardware=vigo-0, diff=3e-05, prob=0.92455, baseline_prob=0.92452, algorithm=32, method=convex, horizon=2,
hardware=cambridge-0, diff=2e-05, prob=0.98213, baseline_prob=0.98211, algorithm=26, method=convex, horizon=2,
hardware=casablanca-0, diff=2e-05, prob=0.98473, baseline_prob=0.98471, algorithm=26, method=convex, horizon=2,
hardware=casablanca-1, diff=2e-05, prob=0.96697, baseline_prob=0.96695, algorithm=32, method=convex, horizon=2,
hardware=hanoi-1, diff=2e-05, prob=0.91554, baseline_prob=0.91552, algorithm=23, method=convex, horizon=2,
hardware=jakarta-1, diff=2e-05, prob=0.94426, baseline_prob=0.94424, algorithm=23, method=convex, horizon=2,
hardware=mumbai-1, diff=2e-05, prob=0.89866, baseline_prob=0.89864, algorithm=23, method=convex, horizon=2,
hardware=nairobi-0, diff=2e-05, prob=0.94165, baseline_prob=0.94163, algorithm=32, method=convex, horizon=2,
hardware=ourense-1, diff=2e-05, prob=0.94505, baseline_prob=0.94503, algorithm=32, method=convex, horizon=2,
hardware=perth-0, diff=2e-05, prob=0.95641, baseline_prob=0.95639, algorithm=39, method=convex, horizon=2,
hardware=yorktown-0, diff=2e-05, prob=0.97193, baseline_prob=0.97191, algorithm=32, method=convex, horizon=2,
hardware=almaden-0, diff=1e-05, prob=0.98413, baseline_prob=0.98412, algorithm=26, method=convex, horizon=2,
hardware=athens-1, diff=1e-05, prob=0.97541, baseline_prob=0.9754, algorithm=23, method=convex, horizon=2,
hardware=auckland-1, diff=1e-05, prob=0.98039, baseline_prob=0.98038, algorithm=32, method=convex, horizon=2,
hardware=belem-0, diff=1e-05, prob=0.95839, baseline_prob=0.95838, algorithm=23, method=convex, horizon=2,
hardware=bogota-0, diff=1e-05, prob=0.97271, baseline_prob=0.9727, algorithm=23, method=convex, horizon=2,
hardware=brooklyn-0, diff=1e-05, prob=0.98723, baseline_prob=0.98722, algorithm=23, method=convex, horizon=2,
hardware=burlington-0, diff=1e-05, prob=0.9749, baseline_prob=0.97489, algorithm=52, method=convex, horizon=2,
hardware=cairo-0, diff=1e-05, prob=0.99464, baseline_prob=0.99463, algorithm=23, method=convex, horizon=2,
hardware=geneva-1, diff=1e-05, prob=0.98552, baseline_prob=0.98551, algorithm=52, method=convex, horizon=2,
hardware=guadalupe-1, diff=1e-05, prob=0.98916, baseline_prob=0.98915, algorithm=23, method=convex, horizon=2,
hardware=kolkata-1, diff=1e-05, prob=0.99497, baseline_prob=0.99496, algorithm=23, method=convex, horizon=2,
hardware=lima-0, diff=1e-05, prob=0.98323, baseline_prob=0.98322, algorithm=23, method=convex, horizon=2,
hardware=london-1, diff=1e-05, prob=0.98251, baseline_prob=0.9825, algorithm=26, method=convex, horizon=2,
hardware=melbourne-0, diff=1e-05, prob=0.9731, baseline_prob=0.97309, algorithm=32, method=convex, horizon=2,
hardware=manhattan-1, diff=1e-05, prob=0.99338, baseline_prob=0.99337, algorithm=32, method=convex, horizon=2,
hardware=mumbai-0, diff=1e-05, prob=0.98679, baseline_prob=0.98678, algorithm=23, method=convex, horizon=2,
hardware=nairobi-1, diff=1e-05, prob=0.98119, baseline_prob=0.98118, algorithm=39, method=convex, horizon=2,
hardware=ourense-0, diff=1e-05, prob=0.98451, baseline_prob=0.9845, algorithm=23, method=convex, horizon=2,
hardware=perth-1, diff=1e-05, prob=0.98012, baseline_prob=0.98011, algorithm=32, method=convex, horizon=2,
hardware=rochester-0, diff=1e-05, prob=0.98841, baseline_prob=0.9884, algorithm=42, method=convex, horizon=2,
hardware=rome-1, diff=1e-05, prob=0.9783, baseline_prob=0.97829, algorithm=23, method=convex, horizon=2,
hardware=santiago-1, diff=1e-05, prob=0.99023, baseline_prob=0.99022, algorithm=23, method=convex, horizon=2,
hardware=singapore-1, diff=1e-05, prob=0.98236, baseline_prob=0.98235, algorithm=52, method=convex, horizon=2,
hardware=torino-0, diff=1e-05, prob=0.99442, baseline_prob=0.99441, algorithm=32, method=convex, horizon=2,
hardware=valencia-0, diff=1e-05, prob=0.9763, baseline_prob=0.97629, algorithm=23, method=convex, horizon=2,



