------ Experiment.basic_zero_plus_discr ------
%%%%%%%%%%%% convex %%%%%%%%%%%%
count hardware (convex):  55
count embeddings (convex):  109
total diff. algorithms (convex):  283
accuracy perfect hardware (convex): 0.66667, 0.66667, 0.75

num. algorithms per horizon (method=convex)
1 :  89
2 :  103
3 :  91
--


number of improvements per horizon:
--> horizon 1: 108 
--> horizon 2: 108 
--> horizon 3: 108 


Improvements with respect to perfect algorithms per horizon
Horizon = 1
hardware=torino-1, diff=0.21012, prob=0.5, baseline_prob=0.28988, algorithm=76, method=convex, horizon=1,
hardware=poughkeepsie-0, diff=0.09287, prob=0.68244, baseline_prob=0.58957, algorithm=217, method=convex, horizon=3,
hardware=johannesburg-1, diff=0.092, prob=0.68393, baseline_prob=0.59193, algorithm=116, method=convex, horizon=3,
hardware=london-0, diff=0.08922, prob=0.6877, baseline_prob=0.59848, algorithm=152, method=convex, horizon=3,
hardware=cairo-1, diff=0.08416, prob=0.69361, baseline_prob=0.60945, algorithm=61, method=convex, horizon=3,
hardware=geneva-0, diff=0.08017, prob=0.69863, baseline_prob=0.61846, algorithm=93, method=convex, horizon=3,
hardware=sydney-1, diff=0.07028, prob=0.70875, baseline_prob=0.63847, algorithm=252, method=convex, horizon=3,
hardware=quito-1, diff=0.06711, prob=0.71156, baseline_prob=0.64445, algorithm=228, method=convex, horizon=3,
hardware=fez-1, diff=0.06446, prob=0.714, baseline_prob=0.64954, algorithm=90, method=convex, horizon=3,
hardware=prague-0, diff=0.06307, prob=0.71515, baseline_prob=0.65208, algorithm=223, method=convex, horizon=3,
hardware=mumbai-1, diff=0.06213, prob=0.71598, baseline_prob=0.65385, algorithm=184, method=convex, horizon=3,
hardware=montreal-1, diff=0.05992, prob=0.7178, baseline_prob=0.65788, algorithm=179, method=convex, horizon=3,
hardware=manila-0, diff=0.05984, prob=0.71779, baseline_prob=0.65795, algorithm=173, method=convex, horizon=3,
hardware=brooklyn-1, diff=0.0557, prob=0.72056, baseline_prob=0.66486, algorithm=51, method=convex, horizon=3,
hardware=singapore-0, diff=0.05551, prob=0.7212, baseline_prob=0.66569, algorithm=246, method=convex, horizon=3,
hardware=hanoi-1, diff=0.05353, prob=0.7227, baseline_prob=0.66917, algorithm=105, method=convex, horizon=3,
hardware=vigo-0, diff=0.04861, prob=0.72615, baseline_prob=0.67754, algorithm=266, method=convex, horizon=3,
hardware=guadalupe-0, diff=0.04032, prob=0.73147, baseline_prob=0.69115, algorithm=99, method=convex, horizon=3,
hardware=nairobi-0, diff=0.03884, prob=0.73235, baseline_prob=0.69351, algorithm=187, method=convex, horizon=3,
hardware=lima-1, diff=0.03861, prob=0.73246, baseline_prob=0.69385, algorithm=149, method=convex, horizon=3,
hardware=bogota-1, diff=0.03814, prob=0.73269, baseline_prob=0.69455, algorithm=41, method=convex, horizon=3,
hardware=essex-1, diff=0.03764, prob=0.73299, baseline_prob=0.69535, algorithm=84, method=convex, horizon=3,
hardware=algiers-1, diff=0.03741, prob=0.73313, baseline_prob=0.69572, algorithm=5, method=convex, horizon=3,
hardware=jakarta-1, diff=0.03733, prob=0.73325, baseline_prob=0.69592, algorithm=110, method=convex, horizon=3,
hardware=ourense-1, diff=0.03681, prob=0.73353, baseline_prob=0.69672, algorithm=204, method=convex, horizon=3,
hardware=valencia-1, diff=0.03662, prob=0.73362, baseline_prob=0.697, algorithm=204, method=convex, horizon=3,
hardware=burlington-1, diff=0.03315, prob=0.73556, baseline_prob=0.70241, algorithm=55, method=convex, horizon=3,
hardware=kolkata-0, diff=0.03206, prob=0.73597, baseline_prob=0.70391, algorithm=125, method=convex, horizon=3,
hardware=perth-0, diff=0.02978, prob=0.73737, baseline_prob=0.70759, algorithm=211, method=convex, horizon=3,
hardware=belem-0, diff=0.02865, prob=0.738, baseline_prob=0.70935, algorithm=26, method=convex, horizon=3,
hardware=casablanca-1, diff=0.02302, prob=0.74073, baseline_prob=0.71771, algorithm=72, method=convex, horizon=3,
hardware=essex-0, diff=0.02183, prob=0.74123, baseline_prob=0.7194, algorithm=81, method=convex, horizon=3,
hardware=rome-0, diff=0.02138, prob=0.74153, baseline_prob=0.72015, algorithm=235, method=convex, horizon=3,
hardware=oslo-1, diff=0.02086, prob=0.74177, baseline_prob=0.72091, algorithm=200, method=convex, horizon=3,
hardware=yorktown-0, diff=0.01974, prob=0.74224, baseline_prob=0.7225, algorithm=276, method=convex, horizon=3,
hardware=bogota-0, diff=0.0193, prob=0.74247, baseline_prob=0.72317, algorithm=38, method=convex, horizon=3,
hardware=melbourne-0, diff=0.01895, prob=0.7426, baseline_prob=0.72365, algorithm=161, method=convex, horizon=3,
hardware=burlington-0, diff=0.01757, prob=0.74322, baseline_prob=0.72565, algorithm=17, method=convex, horizon=3,
hardware=athens-1, diff=0.01743, prob=0.74328, baseline_prob=0.72585, algorithm=17, method=convex, horizon=3,
hardware=valencia-0, diff=0.01683, prob=0.74355, baseline_prob=0.72672, algorithm=261, method=convex, horizon=3,
hardware=quito-0, diff=0.01633, prob=0.74346, baseline_prob=0.72713, algorithm=17, method=convex, horizon=3,
hardware=rome-1, diff=0.01545, prob=0.74413, baseline_prob=0.72868, algorithm=220, method=convex, horizon=3,
hardware=poughkeepsie-1, diff=0.01527, prob=0.74415, baseline_prob=0.72888, algorithm=220, method=convex, horizon=3,
hardware=belem-1, diff=0.01491, prob=0.74436, baseline_prob=0.72945, algorithm=29, method=convex, horizon=3,
hardware=perth-1, diff=0.01416, prob=0.74466, baseline_prob=0.7305, algorithm=214, method=convex, horizon=3,
hardware=auckland-1, diff=0.01396, prob=0.74474, baseline_prob=0.73078, algorithm=23, method=convex, horizon=3,
hardware=nairobi-1, diff=0.01336, prob=0.74497, baseline_prob=0.73161, algorithm=190, method=convex, horizon=3,
hardware=santiago-0, diff=0.01308, prob=0.74512, baseline_prob=0.73204, algorithm=240, method=convex, horizon=3,
hardware=johannesburg-0, diff=0.0129, prob=0.74509, baseline_prob=0.73219, algorithm=113, method=convex, horizon=3,
hardware=cambridge-0, diff=0.01243, prob=0.74536, baseline_prob=0.73293, algorithm=64, method=convex, horizon=3,
hardware=singapore-1, diff=0.01241, prob=0.74539, baseline_prob=0.73298, algorithm=64, method=convex, horizon=3,
hardware=london-1, diff=0.01219, prob=0.74546, baseline_prob=0.73327, algorithm=144, method=convex, horizon=3,
hardware=lagos-1, diff=0.01218, prob=0.74548, baseline_prob=0.7333, algorithm=144, method=convex, horizon=3,
hardware=lima-0, diff=0.01209, prob=0.74554, baseline_prob=0.73345, algorithm=146, method=convex, horizon=3,
hardware=jakarta-0, diff=0.01169, prob=0.74568, baseline_prob=0.73399, algorithm=108, method=convex, horizon=3,
hardware=ourense-0, diff=0.01113, prob=0.7459, baseline_prob=0.73477, algorithm=8, method=convex, horizon=3,
hardware=almaden-0, diff=0.01103, prob=0.74592, baseline_prob=0.73489, algorithm=8, method=convex, horizon=3,
hardware=vigo-1, diff=0.01073, prob=0.74604, baseline_prob=0.73531, algorithm=268, method=convex, horizon=3,
hardware=casablanca-0, diff=0.0107, prob=0.74597, baseline_prob=0.73527, algorithm=8, method=convex, horizon=3,
hardware=manila-1, diff=0.01054, prob=0.74614, baseline_prob=0.7356, algorithm=96, method=convex, horizon=3,
hardware=geneva-1, diff=0.01023, prob=0.74619, baseline_prob=0.73596, algorithm=96, method=convex, horizon=3,
hardware=boeblingen-0, diff=0.0097, prob=0.74647, baseline_prob=0.73677, algorithm=32, method=convex, horizon=3,
hardware=mumbai-0, diff=0.00955, prob=0.74653, baseline_prob=0.73698, algorithm=181, method=convex, horizon=3,
hardware=brooklyn-0, diff=0.00921, prob=0.74665, baseline_prob=0.73744, algorithm=48, method=convex, horizon=3,
hardware=guadalupe-1, diff=0.00785, prob=0.74718, baseline_prob=0.73933, algorithm=102, method=convex, horizon=3,
hardware=rochester-0, diff=0.00755, prob=0.7472, baseline_prob=0.73965, algorithm=102, method=convex, horizon=3,
hardware=athens-0, diff=0.00751, prob=0.74728, baseline_prob=0.73977, algorithm=14, method=convex, horizon=3,
hardware=santiago-1, diff=0.0071, prob=0.74746, baseline_prob=0.74036, algorithm=243, method=convex, horizon=3,
hardware=sydney-0, diff=0.00689, prob=0.74754, baseline_prob=0.74065, algorithm=249, method=convex, horizon=3,
hardware=toronto-1, diff=0.00582, prob=0.74792, baseline_prob=0.7421, algorithm=197, method=convex, horizon=3,
hardware=oslo-0, diff=0.00575, prob=0.74795, baseline_prob=0.7422, algorithm=197, method=convex, horizon=3,
hardware=cusco-0, diff=0.00546, prob=0.74807, baseline_prob=0.74261, algorithm=75, method=convex, horizon=3,
hardware=prague-1, diff=0.00541, prob=0.7481, baseline_prob=0.74269, algorithm=75, method=convex, horizon=3,
hardware=montreal-0, diff=0.00528, prob=0.74813, baseline_prob=0.74285, algorithm=176, method=convex, horizon=3,
hardware=paris-1, diff=0.00519, prob=0.74815, baseline_prob=0.74296, algorithm=176, method=convex, horizon=3,
hardware=manhattan-1, diff=0.00474, prob=0.7483, baseline_prob=0.74356, algorithm=170, method=convex, horizon=3,
hardware=brisbane-1, diff=0.00422, prob=0.74851, baseline_prob=0.74429, algorithm=20, method=convex, horizon=3,
hardware=auckland-0, diff=0.00414, prob=0.74853, baseline_prob=0.74439, algorithm=20, method=convex, horizon=3,
hardware=hanoi-0, diff=0.00413, prob=0.74855, baseline_prob=0.74442, algorithm=20, method=convex, horizon=3,
hardware=torino-0, diff=0.00392, prob=0.74858, baseline_prob=0.74466, algorithm=20, method=convex, horizon=3,
hardware=cairo-0, diff=0.00385, prob=0.74863, baseline_prob=0.74478, algorithm=58, method=convex, horizon=3,
hardware=kolkata-1, diff=0.00368, prob=0.74872, baseline_prob=0.74504, algorithm=2, method=convex, horizon=3,
hardware=algiers-0, diff=0.00362, prob=0.74872, baseline_prob=0.7451, algorithm=2, method=convex, horizon=3,
hardware=kyoto-0, diff=0.00323, prob=0.74887, baseline_prob=0.74564, algorithm=135, method=convex, horizon=3,
hardware=osaka-1, diff=0.00271, prob=0.74905, baseline_prob=0.74634, algorithm=119, method=convex, horizon=3,
hardware=kawasaki-0, diff=0.00262, prob=0.74905, baseline_prob=0.74643, algorithm=119, method=convex, horizon=3,
hardware=makarresh-0, diff=0.00215, prob=0.74918, baseline_prob=0.74703, algorithm=155, method=convex, horizon=3,
hardware=washington-1, diff=0.00215, prob=0.74923, baseline_prob=0.74708, algorithm=273, method=convex, horizon=3,
hardware=kyiv-0, diff=0.00134, prob=0.74951, baseline_prob=0.74817, algorithm=129, method=convex, horizon=3,
hardware=fez-0, diff=0.00115, prob=0.74958, baseline_prob=0.74843, algorithm=87, method=convex, horizon=3,



